Tmr Svc,IDLE,PWRMGNT,FLOW,CRTP-RX,SENSORS,ZRANGER2,CMDHL,MEM,LOG,PARAM,SYSTEM,CRTP-TX,LPS,STABILIZE,SYSLINK,KALMAN,USBLINK
1.82,42.40,0.0,2.38,0.63,4.61,2.06,0.0,0.0,0.0,0.03,2.11,0.49,23.53,5.28,2.80,12.50,0.0
4.59,27.88,0.0,1.17,4.73,2.13,2.52,0.0,0.0,0.0,1.62,5.41,1.82,15.22,6.51,26.33,0.0,0.0
4.43,27.60,0.0,1.16,2.13,4.76,2.53,0.0,0.0,0.0,1.63,1.82,5.44,6.43,26.51,15.51,0.0,0.0
4.46,27.58,2.52,0.0,1.17,4.76,2.13,0.0,0.0,0.0,1.62,5.45,26.42,6.47,1.81,15.55,0.0,0.0
4.46,27.76,2.51,0.0,1.14,4.75,2.15,0.0,0.0,0.0,1.62,1.80,5.43,15.44,26.44,6.43,0.0,0.0
4.47,27.89,0.0,1.16,2.14,2.52,0.0,0.0,0.0,1.62,1.80,26.43,5.44,4.76,6.47,15.23,0.0,0.0
4.45,27.39,0.0,1.16,4.76,2.14,2.52,0.0,0.0,0.0,1.62,5.44,26.55,6.46,1.81,15.62,0.0,0.0
4.44,27.57,0.0,1.17,2.13,4.75,2.53,0.0,0.0,0.0,1.62,1.82,5.45,6.47,26.46,15.53,0.0,0.0
4.48,27.85,2.52,0.0,1.15,4.76,2.14,0.0,0.0,0.0,1.61,1.77,5.42,26.37,15.42,6.43,0.0,0.0
4.50,27.68,0.0,1.18,4.77,2.14,2.53,0.0,0.0,0.0,1.63,1.81,5.45,15.31,26.45,6.48,0.0,0.0
4.48,27.54,2.53,0.0,1.18,4.76,2.13,0.0,0.0,0.0,1.62,1.82,5.41,15.48,26.51,6.48,0.0,0.0
4.46,27.63,0.0,1.17,4.76,2.15,2.50,0.0,0.0,0.0,1.62,1.82,5.43,26.42,6.47,15.52,0.0,0.0
4.45,27.60,0.0,1.16,2.14,2.52,0.0,0.0,0.0,1.62,26.46,1.81,5.40,4.76,6.47,15.55,0.0,0.0
4.50,27.90,0.0,1.15,4.75,2.14,2.53,0.0,0.0,0.0,1.62,1.81,5.41,26.43,6.45,15.24,0.0,0.0
4.45,27.63,0.0,1.16,2.14,2.52,0.0,0.0,0.0,1.62,1.82,6.47,26.51,5.43,4.76,15.44,0.0,0.0
4.45,27.59,0.0,1.15,4.75,2.13,2.51,0.0,0.0,0.0,1.62,1.82,5.43,6.46,26.47,15.55,0.0,0.0
4.47,27.63,0.0,1.14,2.14,4.77,2.52,0.0,0.0,0.0,1.62,1.81,5.44,6.41,15.54,26.43,0.0,0.0
4.49,27.69,0.0,1.17,2.14,2.51,0.0,0.0,0.0,1.62,1.81,6.47,26.48,5.43,4.76,15.36,0.0,0.0
4.48,27.50,2.52,0.0,1.16,2.14,0.0,0.0,0.0,1.62,5.43,4.76,26.53,6.46,1.82,15.53,0.0,0.0
4.45,27.61,0.0,1.16,4.77,2.14,2.51,0.0,0.0,0.0,1.62,26.45,5.42,1.83,15.50,6.45,0.0,0.0
4.47,27.57,0.0,1.16,4.77,2.14,2.53,0.0,0.0,0.0,1.62,5.43,1.81,26.45,15.54,6.46,0.0,0.0
4.55,27.82,0.0,1.15,4.76,2.15,2.54,0.0,0.0,0.0,1.61,1.77,5.43,15.23,26.46,6.46,0.0,0.0
4.56,28.95,2.52,0.0,1.16,4.76,2.19,0.0,0.0,0.0,1.62,1.81,5.45,26.29,6.42,14.20,0.0,0.0
